x,y,date,pressure_sea_level__pression_niveau_mer,total_precip__precip_totale,pressure_station__pression_station,period_value__valeur_periode,lat__lat,temp_max__temp_max,temp_min_units__temp_min_unites,temp_mean__temp_moyenne,snow__neige,snow_units__neige_unites,rain_units__pluie_unites,station_id__id_station,period_group__groupe_periode,temp_max_units__temp_max_unites,wind_speed__vitesse_vent,rain__pluie,wind_speed_units__vitesse_vent_unites,lon__long,identifier__identifiant,temp_mean_units__temp_moyenne_unites,pressure_station_units__pression_station_unites,province__province,pressure_sea_level_units__pression_niveau_mer_unite,total_precip_units__precip_totale_unites,temp_min__temp_min
-123.1819,49.195,1899-06,,19.5,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,19.5,kph,-123.1819,1108447.1899.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-07,,8.6,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,8.6,kph,-123.1819,1108447.1899.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-08,,108.7,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,108.7,kph,-123.1819,1108447.1899.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-09,,33.4,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,33.4,kph,-123.1819,1108447.1899.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-10,,142.7,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,142.7,kph,-123.1819,1108447.1899.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-11,,288.4,,Nov,49.195,,C,,0,mm,mm,1108447,Monthly,C,,288.4,kph,-123.1819,1108447.1899.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1899-12,,154.6,,Dec,49.195,,C,,6.2,mm,mm,1108447,Monthly,C,,148.4,kph,-123.1819,1108447.1899.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-01,,139.2,,Jan,49.195,,C,,0,mm,mm,1108447,Monthly,C,,139.2,kph,-123.1819,1108447.1900.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-02,,104.3,,Feb,49.195,,C,,15.7,mm,mm,1108447,Monthly,C,,88.5,kph,-123.1819,1108447.1900.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-03,,182.4,,Mar,49.195,,C,,0,mm,mm,1108447,Monthly,C,,182.4,kph,-123.1819,1108447.1900.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-04,,88.2,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,88.2,kph,-123.1819,1108447.1900.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-05,,68.1,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,68.1,kph,-123.1819,1108447.1900.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-06,,99.6,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,99.6,kph,-123.1819,1108447.1900.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-07,,28,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,28,kph,-123.1819,1108447.1900.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-08,,65.1,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,65.1,kph,-123.1819,1108447.1900.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-09,,40.2,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,40.2,kph,-123.1819,1108447.1900.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-10,,115.3,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,115.3,kph,-123.1819,1108447.1900.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-11,,170.3,,Nov,49.195,,C,,16.1,mm,mm,1108447,Monthly,C,,154.2,kph,-123.1819,1108447.1900.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1900-12,,173.8,,Dec,49.195,,C,,0,mm,mm,1108447,Monthly,C,,173.8,kph,-123.1819,1108447.1900.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-01,,159.8,,Jan,49.195,,C,,75.2,mm,mm,1108447,Monthly,C,,84.6,kph,-123.1819,1108447.1901.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-02,,118.6,,Feb,49.195,,C,,5,mm,mm,1108447,Monthly,C,,113.6,kph,-123.1819,1108447.1901.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-03,,43.2,,Mar,49.195,,C,,0,mm,mm,1108447,Monthly,C,,43.2,kph,-123.1819,1108447.1901.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-04,,85.5,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,85.5,kph,-123.1819,1108447.1901.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-05,,95,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,95,kph,-123.1819,1108447.1901.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-06,,79.6,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,79.6,kph,-123.1819,1108447.1901.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-07,,25,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,25,kph,-123.1819,1108447.1901.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-08,,1.6,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,1.6,kph,-123.1819,1108447.1901.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-09,,67,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,67,kph,-123.1819,1108447.1901.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-10,,91,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,91,kph,-123.1819,1108447.1901.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-11,,189.6,,Nov,49.195,,C,,0,mm,mm,1108447,Monthly,C,,189.6,kph,-123.1819,1108447.1901.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1901-12,,111,,Dec,49.195,,C,,0,mm,mm,1108447,Monthly,C,,111,kph,-123.1819,1108447.1901.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-01,,109.2,,Jan,49.195,,C,,27.3,mm,mm,1108447,Monthly,C,,81.9,kph,-123.1819,1108447.1902.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-02,,171.2,,Feb,49.195,,C,,2.4,mm,mm,1108447,Monthly,C,,168.8,kph,-123.1819,1108447.1902.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-03,,112.9,,Mar,49.195,,C,,2.4,mm,mm,1108447,Monthly,C,,110.5,kph,-123.1819,1108447.1902.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-04,,57.2,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,57.2,kph,-123.1819,1108447.1902.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-05,,71.7,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,71.7,kph,-123.1819,1108447.1902.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-06,,44.6,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,44.6,kph,-123.1819,1108447.1902.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-07,,40.3,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,40.3,kph,-123.1819,1108447.1902.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-08,,21.4,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,21.4,kph,-123.1819,1108447.1902.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-09,,65.7,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,65.7,kph,-123.1819,1108447.1902.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-10,,71.7,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,71.7,kph,-123.1819,1108447.1902.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-11,,154.5,,Nov,49.195,,C,,0,mm,mm,1108447,Monthly,C,,154.5,kph,-123.1819,1108447.1902.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1902-12,,151.6,,Dec,49.195,,C,,12.4,mm,mm,1108447,Monthly,C,,139.2,kph,-123.1819,1108447.1902.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-01,,135.1,,Jan,49.195,,C,,8.7,mm,mm,1108447,Monthly,C,,126.4,kph,-123.1819,1108447.1903.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-02,,32.7,,Feb,49.195,,C,,1.3,mm,mm,1108447,Monthly,C,,31.4,kph,-123.1819,1108447.1903.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-03,,83.3,,Mar,49.195,,C,,29.8,mm,mm,1108447,Monthly,C,,53.5,kph,-123.1819,1108447.1903.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-04,,31.3,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,31.3,kph,-123.1819,1108447.1903.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-05,,46.2,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,46.2,kph,-123.1819,1108447.1903.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-06,,71.1,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,71.1,kph,-123.1819,1108447.1903.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-07,,34.8,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,34.8,kph,-123.1819,1108447.1903.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-08,,16.7,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,16.7,kph,-123.1819,1108447.1903.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-09,,142.8,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,142.8,kph,-123.1819,1108447.1903.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-10,,93.1,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,93.1,kph,-123.1819,1108447.1903.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-11,,252.8,,Nov,49.195,,C,,4.9,mm,mm,1108447,Monthly,C,,247.9,kph,-123.1819,1108447.1903.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1903-12,,90.3,,Dec,49.195,,C,,0,mm,mm,1108447,Monthly,C,,90.3,kph,-123.1819,1108447.1903.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-01,,217.4,,Jan,49.195,,C,,33.6,mm,mm,1108447,Monthly,C,,183.8,kph,-123.1819,1108447.1904.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-02,,166.1,,Feb,49.195,,C,,22.3,mm,mm,1108447,Monthly,C,,143.8,kph,-123.1819,1108447.1904.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-03,,124.7,,Mar,49.195,,C,,13.7,mm,mm,1108447,Monthly,C,,111,kph,-123.1819,1108447.1904.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-04,,61.7,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,61.7,kph,-123.1819,1108447.1904.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-05,,36.5,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,36.5,kph,-123.1819,1108447.1904.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-06,,37.1,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,37.1,kph,-123.1819,1108447.1904.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-07,,48.2,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,48.2,kph,-123.1819,1108447.1904.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-08,,18.1,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,18.1,kph,-123.1819,1108447.1904.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-09,,52.3,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,52.3,kph,-123.1819,1108447.1904.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-10,,65.7,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,65.7,kph,-123.1819,1108447.1904.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-11,,166.7,,Nov,49.195,,C,,0,mm,mm,1108447,Monthly,C,,166.7,kph,-123.1819,1108447.1904.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1904-12,,217.7,,Dec,49.195,,C,,8.7,mm,mm,1108447,Monthly,C,,209.1,kph,-123.1819,1108447.1904.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-01,,142.2,,Jan,49.195,,C,,0,mm,mm,1108447,Monthly,C,,142.2,kph,-123.1819,1108447.1905.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-02,,87.5,,Feb,49.195,,C,,0,mm,mm,1108447,Monthly,C,,87.5,kph,-123.1819,1108447.1905.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-03,,109.1,,Mar,49.195,,C,,0,mm,mm,1108447,Monthly,C,,109.1,kph,-123.1819,1108447.1905.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-04,,22,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,22,kph,-123.1819,1108447.1905.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-05,,63.1,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,63.1,kph,-123.1819,1108447.1905.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-06,,49.8,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,49.8,kph,-123.1819,1108447.1905.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-07,,45.8,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,45.8,kph,-123.1819,1108447.1905.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-08,,58.2,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,58.2,kph,-123.1819,1108447.1905.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-09,,210.4,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,210.4,kph,-123.1819,1108447.1905.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-10,,82.8,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,82.8,kph,-123.1819,1108447.1905.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-11,,88.1,,Nov,49.195,,C,,7.4,mm,mm,1108447,Monthly,C,,80.7,kph,-123.1819,1108447.1905.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1905-12,,103.4,,Dec,49.195,,C,,0,mm,mm,1108447,Monthly,C,,103.4,kph,-123.1819,1108447.1905.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-01,,154.3,,Jan,49.195,,C,,8.7,mm,mm,1108447,Monthly,C,,145.6,kph,-123.1819,1108447.1906.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-02,,93.6,,Feb,49.195,,C,,0,mm,mm,1108447,Monthly,C,,93.6,kph,-123.1819,1108447.1906.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-03,,55.5,,Mar,49.195,,C,,0,mm,mm,1108447,Monthly,C,,55.5,kph,-123.1819,1108447.1906.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-04,,19.3,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,19.3,kph,-123.1819,1108447.1906.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-05,,75.3,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,75.3,kph,-123.1819,1108447.1906.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-06,,49.5,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,49.5,kph,-123.1819,1108447.1906.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-07,,6.6,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,6.6,kph,-123.1819,1108447.1906.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-08,,15.4,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,15.4,kph,-123.1819,1108447.1906.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-09,,182.1,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,182.1,kph,-123.1819,1108447.1906.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-10,,132.2,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,132.2,kph,-123.1819,1108447.1906.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-11,,158,,Nov,49.195,,C,,0,mm,mm,1108447,Monthly,C,,158,kph,-123.1819,1108447.1906.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1906-12,,153.3,,Dec,49.195,,C,,14.9,mm,mm,1108447,Monthly,C,,138.4,kph,-123.1819,1108447.1906.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-01,,137.6,,Jan,49.195,,C,,19.8,mm,mm,1108447,Monthly,C,,117.8,kph,-123.1819,1108447.1907.01,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-02,,152,,Feb,49.195,,C,,7.4,mm,mm,1108447,Monthly,C,,144.6,kph,-123.1819,1108447.1907.02,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-03,,41.6,,Mar,49.195,,C,,0,mm,mm,1108447,Monthly,C,,41.6,kph,-123.1819,1108447.1907.03,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-04,,68,,Apr,49.195,,C,,0,mm,mm,1108447,Monthly,C,,68,kph,-123.1819,1108447.1907.04,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-05,,22.7,,May,49.195,,C,,0,mm,mm,1108447,Monthly,C,,22.7,kph,-123.1819,1108447.1907.05,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-06,,17.2,,Jun,49.195,,C,,0,mm,mm,1108447,Monthly,C,,17.2,kph,-123.1819,1108447.1907.06,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-07,,2.3,,Jul,49.195,,C,,0,mm,mm,1108447,Monthly,C,,2.3,kph,-123.1819,1108447.1907.07,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-08,,4.9,,Aug,49.195,,C,,0,mm,mm,1108447,Monthly,C,,4.9,kph,-123.1819,1108447.1907.08,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-09,,7.5,,Sep,49.195,,C,,0,mm,mm,1108447,Monthly,C,,7.5,kph,-123.1819,1108447.1907.09,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-10,,13.1,,Oct,49.195,,C,,0,mm,mm,1108447,Monthly,C,,13.1,kph,-123.1819,1108447.1907.10,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-11,,177.4,,Nov,49.195,,C,,0,mm,mm,1108447,Monthly,C,,177.4,kph,-123.1819,1108447.1907.11,C,hPa,BC,hPa,mm,
-123.1819,49.195,1907-12,,176.2,,Dec,49.195,,C,,1.8,mm,mm,1108447,Monthly,C,,174.4,kph,-123.1819,1108447.1907.12,C,hPa,BC,hPa,mm,
-123.1819,49.195,1908-01,,134.8,,Jan,49.195,,C,,0,mm,mm,1108447,Monthly,C,,134.8,kph,-123.1819,1108447.1908.01,C,hPa,BC,hPa,mm,
