x,y,lon__long,temp_min__temp_min,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,wind_speed__vitesse_vent,identifier__identifiant,period_group__groupe_periode,period_value__valeur_periode,total_precip__precip_totale,station_id__id_station,total_precip_units__precip_totale_unites,temp_max_units__temp_max_unites,province__province,rain_units__pluie_unites,snow_units__neige_unites,temp_min_units__temp_min_unites,pressure_sea_level_units__pression_niveau_mer_unite,snow__neige,date,pressure_station__pression_station,wind_speed_units__vitesse_vent_unites,lat__lat,pressure_station_units__pression_station_unites,temp_max__temp_max,pressure_sea_level__pression_niveau_mer,rain__pluie
-73.75,45.4667,-73.75,,,C,,7025250.1873.08,Monthly,Aug,42.8,7025250,mm,C,QC,mm,mm,C,hPa,0,1873-08,,kph,45.4667,hPa,,,42.8
-73.75,45.4667,-73.75,,,C,,7025250.1873.09,Monthly,Sep,112.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1873-09,,kph,45.4667,hPa,,,112.7
-73.75,45.4667,-73.75,,,C,,7025250.1873.10,Monthly,Oct,159.4,7025250,mm,C,QC,mm,mm,C,hPa,1.5,1873-10,,kph,45.4667,hPa,,,157.9
-73.75,45.4667,-73.75,,,C,,7025250.1873.11,Monthly,Nov,152.2,7025250,mm,C,QC,mm,mm,C,hPa,129.9,1873-11,,kph,45.4667,hPa,,,22.2
-73.75,45.4667,-73.75,,,C,,7025250.1873.12,Monthly,Dec,-9999.9,7025250,mm,C,QC,mm,mm,C,hPa,-9999.9,1873-12,,kph,45.4667,hPa,,,-9999.9
-73.75,45.4667,-73.75,,,C,,7025250.1874.01,Monthly,Jan,144.7,7025250,mm,C,QC,mm,mm,C,hPa,53.9,1874-01,,kph,45.4667,hPa,,,90.8
-73.75,45.4667,-73.75,,,C,,7025250.1874.02,Monthly,Feb,70,7025250,mm,C,QC,mm,mm,C,hPa,51.9,1874-02,,kph,45.4667,hPa,,,18.1
-73.75,45.4667,-73.75,,,C,,7025250.1874.03,Monthly,Mar,101.6,7025250,mm,C,QC,mm,mm,C,hPa,73.7,1874-03,,kph,45.4667,hPa,,,27.9
-73.75,45.4667,-73.75,,,C,,7025250.1874.04,Monthly,Apr,85.9,7025250,mm,C,QC,mm,mm,C,hPa,59.8,1874-04,,kph,45.4667,hPa,,,26
-73.75,45.4667,-73.75,,,C,,7025250.1874.05,Monthly,May,87.7,7025250,mm,C,QC,mm,mm,C,hPa,2.7,1874-05,,kph,45.4667,hPa,,,85
-73.75,45.4667,-73.75,,,C,,7025250.1874.06,Monthly,Jun,92.8,7025250,mm,C,QC,mm,mm,C,hPa,0,1874-06,,kph,45.4667,hPa,,,92.8
-73.75,45.4667,-73.75,,,C,,7025250.1874.07,Monthly,Jul,143.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1874-07,,kph,45.4667,hPa,,,143.7
-73.75,45.4667,-73.75,,,C,,7025250.1874.08,Monthly,Aug,38.4,7025250,mm,C,QC,mm,mm,C,hPa,0,1874-08,,kph,45.4667,hPa,,,38.4
-73.75,45.4667,-73.75,,,C,,7025250.1874.09,Monthly,Sep,74.3,7025250,mm,C,QC,mm,mm,C,hPa,0,1874-09,,kph,45.4667,hPa,,,74.3
-73.75,45.4667,-73.75,,,C,,7025250.1874.10,Monthly,Oct,39.4,7025250,mm,C,QC,mm,mm,C,hPa,0,1874-10,,kph,45.4667,hPa,,,39.4
-73.75,45.4667,-73.75,,,C,,7025250.1874.11,Monthly,Nov,64.8,7025250,mm,C,QC,mm,mm,C,hPa,53.5,1874-11,,kph,45.4667,hPa,,,11.3
-73.75,45.4667,-73.75,,,C,,7025250.1874.12,Monthly,Dec,65.2,7025250,mm,C,QC,mm,mm,C,hPa,63.6,1874-12,,kph,45.4667,hPa,,,1.6
-73.75,45.4667,-73.75,,,C,,7025250.1875.01,Monthly,Jan,104.2,7025250,mm,C,QC,mm,mm,C,hPa,104.2,1875-01,,kph,45.4667,hPa,,,0
-73.75,45.4667,-73.75,,,C,,7025250.1875.02,Monthly,Feb,49.9,7025250,mm,C,QC,mm,mm,C,hPa,43,1875-02,,kph,45.4667,hPa,,,6.9
-73.75,45.4667,-73.75,,,C,,7025250.1875.03,Monthly,Mar,63.5,7025250,mm,C,QC,mm,mm,C,hPa,44.3,1875-03,,kph,45.4667,hPa,,,19.2
-73.75,45.4667,-73.75,,,C,,7025250.1875.04,Monthly,Apr,49.7,7025250,mm,C,QC,mm,mm,C,hPa,21.9,1875-04,,kph,45.4667,hPa,,,27.8
-73.75,45.4667,-73.75,,,C,,7025250.1875.05,Monthly,May,124.9,7025250,mm,C,QC,mm,mm,C,hPa,4.8,1875-05,,kph,45.4667,hPa,,,120.1
-73.75,45.4667,-73.75,,,C,,7025250.1875.06,Monthly,Jun,79.3,7025250,mm,C,QC,mm,mm,C,hPa,0,1875-06,,kph,45.4667,hPa,,,79.3
-73.75,45.4667,-73.75,,,C,,7025250.1875.07,Monthly,Jul,88.6,7025250,mm,C,QC,mm,mm,C,hPa,0,1875-07,,kph,45.4667,hPa,,,88.6
-73.75,45.4667,-73.75,,,C,,7025250.1875.08,Monthly,Aug,63.9,7025250,mm,C,QC,mm,mm,C,hPa,0,1875-08,,kph,45.4667,hPa,,,63.9
-73.75,45.4667,-73.75,,,C,,7025250.1875.09,Monthly,Sep,124.9,7025250,mm,C,QC,mm,mm,C,hPa,0,1875-09,,kph,45.4667,hPa,,,124.9
-73.75,45.4667,-73.75,,,C,,7025250.1875.10,Monthly,Oct,117.3,7025250,mm,C,QC,mm,mm,C,hPa,8,1875-10,,kph,45.4667,hPa,,,109.3
-73.75,45.4667,-73.75,,,C,,7025250.1875.11,Monthly,Nov,75.7,7025250,mm,C,QC,mm,mm,C,hPa,55.3,1875-11,,kph,45.4667,hPa,,,20.4
-73.75,45.4667,-73.75,,,C,,7025250.1875.12,Monthly,Dec,89.4,7025250,mm,C,QC,mm,mm,C,hPa,71.9,1875-12,,kph,45.4667,hPa,,,17.6
-73.75,45.4667,-73.75,,,C,,7025250.1876.01,Monthly,Jan,129.2,7025250,mm,C,QC,mm,mm,C,hPa,94.4,1876-01,,kph,45.4667,hPa,,,34.8
-73.75,45.4667,-73.75,,,C,,7025250.1876.02,Monthly,Feb,107,7025250,mm,C,QC,mm,mm,C,hPa,85.5,1876-02,,kph,45.4667,hPa,,,21.5
-73.75,45.4667,-73.75,,,C,,7025250.1876.03,Monthly,Mar,153.8,7025250,mm,C,QC,mm,mm,C,hPa,135.4,1876-03,,kph,45.4667,hPa,,,18.5
-73.75,45.4667,-73.75,,,C,,7025250.1876.04,Monthly,Apr,61.3,7025250,mm,C,QC,mm,mm,C,hPa,34,1876-04,,kph,45.4667,hPa,,,27.3
-73.75,45.4667,-73.75,,,C,,7025250.1876.05,Monthly,May,87.1,7025250,mm,C,QC,mm,mm,C,hPa,1.5,1876-05,,kph,45.4667,hPa,,,85.6
-73.75,45.4667,-73.75,,,C,,7025250.1876.06,Monthly,Jun,78.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1876-06,,kph,45.4667,hPa,,,78.7
-73.75,45.4667,-73.75,,,C,,7025250.1876.07,Monthly,Jul,105.5,7025250,mm,C,QC,mm,mm,C,hPa,0,1876-07,,kph,45.4667,hPa,,,105.5
-73.75,45.4667,-73.75,,,C,,7025250.1876.08,Monthly,Aug,48.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1876-08,,kph,45.4667,hPa,,,48.7
-73.75,45.4667,-73.75,,,C,,7025250.1876.09,Monthly,Sep,132.2,7025250,mm,C,QC,mm,mm,C,hPa,0,1876-09,,kph,45.4667,hPa,,,132.2
-73.75,45.4667,-73.75,,,C,,7025250.1876.10,Monthly,Oct,68.1,7025250,mm,C,QC,mm,mm,C,hPa,3.1,1876-10,,kph,45.4667,hPa,,,65
-73.75,45.4667,-73.75,,,C,,7025250.1876.11,Monthly,Nov,45.8,7025250,mm,C,QC,mm,mm,C,hPa,0.6,1876-11,,kph,45.4667,hPa,,,45.2
-73.75,45.4667,-73.75,,,C,,7025250.1876.12,Monthly,Dec,72.1,7025250,mm,C,QC,mm,mm,C,hPa,72.1,1876-12,,kph,45.4667,hPa,,,0
-73.75,45.4667,-73.75,,,C,,7025250.1877.01,Monthly,Jan,72.8,7025250,mm,C,QC,mm,mm,C,hPa,69.6,1877-01,,kph,45.4667,hPa,,,3.3
-73.75,45.4667,-73.75,,,C,,7025250.1877.02,Monthly,Feb,16.3,7025250,mm,C,QC,mm,mm,C,hPa,12.8,1877-02,,kph,45.4667,hPa,,,3.5
-73.75,45.4667,-73.75,,,C,,7025250.1877.03,Monthly,Mar,140.2,7025250,mm,C,QC,mm,mm,C,hPa,72.7,1877-03,,kph,45.4667,hPa,,,67.4
-73.75,45.4667,-73.75,,,C,,7025250.1877.04,Monthly,Apr,79,7025250,mm,C,QC,mm,mm,C,hPa,28.7,1877-04,,kph,45.4667,hPa,,,50.3
-73.75,45.4667,-73.75,,,C,,7025250.1877.05,Monthly,May,19.1,7025250,mm,C,QC,mm,mm,C,hPa,0.2,1877-05,,kph,45.4667,hPa,,,19
-73.75,45.4667,-73.75,,,C,,7025250.1877.06,Monthly,Jun,58.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1877-06,,kph,45.4667,hPa,,,58.7
-73.75,45.4667,-73.75,,,C,,7025250.1877.07,Monthly,Jul,90.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1877-07,,kph,45.4667,hPa,,,90.7
-73.75,45.4667,-73.75,,,C,,7025250.1877.08,Monthly,Aug,86.4,7025250,mm,C,QC,mm,mm,C,hPa,0,1877-08,,kph,45.4667,hPa,,,86.4
-73.75,45.4667,-73.75,,,C,,7025250.1877.09,Monthly,Sep,22.9,7025250,mm,C,QC,mm,mm,C,hPa,0,1877-09,,kph,45.4667,hPa,,,22.9
-73.75,45.4667,-73.75,,,C,,7025250.1877.10,Monthly,Oct,94.8,7025250,mm,C,QC,mm,mm,C,hPa,16,1877-10,,kph,45.4667,hPa,,,78.8
-73.75,45.4667,-73.75,,,C,,7025250.1877.11,Monthly,Nov,120.3,7025250,mm,C,QC,mm,mm,C,hPa,15.6,1877-11,,kph,45.4667,hPa,,,104.7
-73.75,45.4667,-73.75,,,C,,7025250.1877.12,Monthly,Dec,42.6,7025250,mm,C,QC,mm,mm,C,hPa,13.8,1877-12,,kph,45.4667,hPa,,,28.8
-73.75,45.4667,-73.75,,,C,,7025250.1878.01,Monthly,Jan,101.8,7025250,mm,C,QC,mm,mm,C,hPa,91.4,1878-01,,kph,45.4667,hPa,,,10.4
-73.75,45.4667,-73.75,,,C,,7025250.1878.02,Monthly,Feb,38.7,7025250,mm,C,QC,mm,mm,C,hPa,31.4,1878-02,,kph,45.4667,hPa,,,7.2
-73.75,45.4667,-73.75,,,C,,7025250.1878.03,Monthly,Mar,73.7,7025250,mm,C,QC,mm,mm,C,hPa,58.2,1878-03,,kph,45.4667,hPa,,,15.5
-73.75,45.4667,-73.75,,,C,,7025250.1878.04,Monthly,Apr,94.5,7025250,mm,C,QC,mm,mm,C,hPa,6.9,1878-04,,kph,45.4667,hPa,,,87.7
-73.75,45.4667,-73.75,,,C,,7025250.1878.05,Monthly,May,103.4,7025250,mm,C,QC,mm,mm,C,hPa,2.9,1878-05,,kph,45.4667,hPa,,,100.5
-73.75,45.4667,-73.75,,,C,,7025250.1878.06,Monthly,Jun,30.9,7025250,mm,C,QC,mm,mm,C,hPa,0,1878-06,,kph,45.4667,hPa,,,30.9
-73.75,45.4667,-73.75,,,C,,7025250.1878.07,Monthly,Jul,131,7025250,mm,C,QC,mm,mm,C,hPa,0,1878-07,,kph,45.4667,hPa,,,131
-73.75,45.4667,-73.75,,,C,,7025250.1878.08,Monthly,Aug,93.3,7025250,mm,C,QC,mm,mm,C,hPa,0,1878-08,,kph,45.4667,hPa,,,93.3
-73.75,45.4667,-73.75,,,C,,7025250.1878.09,Monthly,Sep,39.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1878-09,,kph,45.4667,hPa,,,39.7
-73.75,45.4667,-73.75,,,C,,7025250.1878.10,Monthly,Oct,131.4,7025250,mm,C,QC,mm,mm,C,hPa,0.5,1878-10,,kph,45.4667,hPa,,,130.8
-73.75,45.4667,-73.75,,,C,,7025250.1878.11,Monthly,Nov,128.9,7025250,mm,C,QC,mm,mm,C,hPa,43.8,1878-11,,kph,45.4667,hPa,,,85
-73.75,45.4667,-73.75,,,C,,7025250.1878.12,Monthly,Dec,163.4,7025250,mm,C,QC,mm,mm,C,hPa,99,1878-12,,kph,45.4667,hPa,,,64.4
-73.75,45.4667,-73.75,,,C,,7025250.1879.01,Monthly,Jan,118.2,7025250,mm,C,QC,mm,mm,C,hPa,118.2,1879-01,,kph,45.4667,hPa,,,0
-73.75,45.4667,-73.75,,,C,,7025250.1879.02,Monthly,Feb,80.1,7025250,mm,C,QC,mm,mm,C,hPa,79.2,1879-02,,kph,45.4667,hPa,,,0.9
-73.75,45.4667,-73.75,,,C,,7025250.1879.03,Monthly,Mar,123.7,7025250,mm,C,QC,mm,mm,C,hPa,92.9,1879-03,,kph,45.4667,hPa,,,30.9
-73.75,45.4667,-73.75,,,C,,7025250.1879.04,Monthly,Apr,28.2,7025250,mm,C,QC,mm,mm,C,hPa,20.5,1879-04,,kph,45.4667,hPa,,,7.7
-73.75,45.4667,-73.75,,,C,,7025250.1879.05,Monthly,May,20.4,7025250,mm,C,QC,mm,mm,C,hPa,0,1879-05,,kph,45.4667,hPa,,,20.4
-73.75,45.4667,-73.75,,,C,,7025250.1879.06,Monthly,Jun,117.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1879-06,,kph,45.4667,hPa,,,117.7
-73.75,45.4667,-73.75,,,C,,7025250.1879.07,Monthly,Jul,119.2,7025250,mm,C,QC,mm,mm,C,hPa,0,1879-07,,kph,45.4667,hPa,,,119.2
-73.75,45.4667,-73.75,,,C,,7025250.1879.08,Monthly,Aug,35.6,7025250,mm,C,QC,mm,mm,C,hPa,0,1879-08,,kph,45.4667,hPa,,,35.6
-73.75,45.4667,-73.75,,,C,,7025250.1879.09,Monthly,Sep,77.8,7025250,mm,C,QC,mm,mm,C,hPa,0,1879-09,,kph,45.4667,hPa,,,77.8
-73.75,45.4667,-73.75,,,C,,7025250.1879.10,Monthly,Oct,42.3,7025250,mm,C,QC,mm,mm,C,hPa,0.2,1879-10,,kph,45.4667,hPa,,,42.1
-73.75,45.4667,-73.75,,,C,,7025250.1879.11,Monthly,Nov,112.9,7025250,mm,C,QC,mm,mm,C,hPa,43.8,1879-11,,kph,45.4667,hPa,,,69.1
-73.75,45.4667,-73.75,,,C,,7025250.1879.12,Monthly,Dec,141.4,7025250,mm,C,QC,mm,mm,C,hPa,102.3,1879-12,,kph,45.4667,hPa,,,39.1
-73.75,45.4667,-73.75,,,C,,7025250.1880.01,Monthly,Jan,80.2,7025250,mm,C,QC,mm,mm,C,hPa,49,1880-01,,kph,45.4667,hPa,,,31.2
-73.75,45.4667,-73.75,,,C,,7025250.1880.02,Monthly,Feb,106.3,7025250,mm,C,QC,mm,mm,C,hPa,78.3,1880-02,,kph,45.4667,hPa,,,28
-73.75,45.4667,-73.75,,,C,,7025250.1880.03,Monthly,Mar,75.4,7025250,mm,C,QC,mm,mm,C,hPa,74,1880-03,,kph,45.4667,hPa,,,1.4
-73.75,45.4667,-73.75,,,C,,7025250.1880.04,Monthly,Apr,104.3,7025250,mm,C,QC,mm,mm,C,hPa,25.8,1880-04,,kph,45.4667,hPa,,,78.5
-73.75,45.4667,-73.75,,,C,,7025250.1880.05,Monthly,May,73.9,7025250,mm,C,QC,mm,mm,C,hPa,0,1880-05,,kph,45.4667,hPa,,,73.9
-73.75,45.4667,-73.75,,,C,,7025250.1880.06,Monthly,Jun,74.3,7025250,mm,C,QC,mm,mm,C,hPa,0,1880-06,,kph,45.4667,hPa,,,74.3
-73.75,45.4667,-73.75,,,C,,7025250.1880.07,Monthly,Jul,129.3,7025250,mm,C,QC,mm,mm,C,hPa,0,1880-07,,kph,45.4667,hPa,,,129.3
-73.75,45.4667,-73.75,,,C,,7025250.1880.08,Monthly,Aug,36.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1880-08,,kph,45.4667,hPa,,,36.7
-73.75,45.4667,-73.75,,,C,,7025250.1880.09,Monthly,Sep,70.3,7025250,mm,C,QC,mm,mm,C,hPa,0,1880-09,,kph,45.4667,hPa,,,70.3
-73.75,45.4667,-73.75,,,C,,7025250.1880.10,Monthly,Oct,117.5,7025250,mm,C,QC,mm,mm,C,hPa,9.6,1880-10,,kph,45.4667,hPa,,,107.9
-73.75,45.4667,-73.75,,,C,,7025250.1880.11,Monthly,Nov,126,7025250,mm,C,QC,mm,mm,C,hPa,39,1880-11,,kph,45.4667,hPa,,,87
-73.75,45.4667,-73.75,,,C,,7025250.1880.12,Monthly,Dec,59.8,7025250,mm,C,QC,mm,mm,C,hPa,52.5,1880-12,,kph,45.4667,hPa,,,7.2
-73.75,45.4667,-73.75,,,C,,7025250.1881.01,Monthly,Jan,76.2,7025250,mm,C,QC,mm,mm,C,hPa,75.9,1881-01,,kph,45.4667,hPa,,,0.3
-73.75,45.4667,-73.75,,,C,,7025250.1881.02,Monthly,Feb,70.5,7025250,mm,C,QC,mm,mm,C,hPa,21.7,1881-02,,kph,45.4667,hPa,,,48.8
-73.75,45.4667,-73.75,,,C,,7025250.1881.03,Monthly,Mar,124.8,7025250,mm,C,QC,mm,mm,C,hPa,91.5,1881-03,,kph,45.4667,hPa,,,33.4
-73.75,45.4667,-73.75,,,C,,7025250.1881.04,Monthly,Apr,14.6,7025250,mm,C,QC,mm,mm,C,hPa,2.2,1881-04,,kph,45.4667,hPa,,,12.3
-73.75,45.4667,-73.75,,,C,,7025250.1881.05,Monthly,May,80.8,7025250,mm,C,QC,mm,mm,C,hPa,0,1881-05,,kph,45.4667,hPa,,,80.8
-73.75,45.4667,-73.75,,,C,,7025250.1881.06,Monthly,Jun,35.3,7025250,mm,C,QC,mm,mm,C,hPa,0,1881-06,,kph,45.4667,hPa,,,35.3
-73.75,45.4667,-73.75,,,C,,7025250.1881.07,Monthly,Jul,81.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1881-07,,kph,45.4667,hPa,,,81.7
-73.75,45.4667,-73.75,,,C,,7025250.1881.08,Monthly,Aug,51.7,7025250,mm,C,QC,mm,mm,C,hPa,0,1881-08,,kph,45.4667,hPa,,,51.7
-73.75,45.4667,-73.75,,,C,,7025250.1881.09,Monthly,Sep,45.3,7025250,mm,C,QC,mm,mm,C,hPa,0,1881-09,,kph,45.4667,hPa,,,45.3
-73.75,45.4667,-73.75,,,C,,7025250.1881.10,Monthly,Oct,116.9,7025250,mm,C,QC,mm,mm,C,hPa,1.1,1881-10,,kph,45.4667,hPa,,,115.8
-73.75,45.4667,-73.75,,,C,,7025250.1881.11,Monthly,Nov,61.6,7025250,mm,C,QC,mm,mm,C,hPa,29,1881-11,,kph,45.4667,hPa,,,32.6
-73.75,45.4667,-73.75,,,C,,7025250.1881.12,Monthly,Dec,89.1,7025250,mm,C,QC,mm,mm,C,hPa,10.2,1881-12,,kph,45.4667,hPa,,,78.9
-73.75,45.4667,-73.75,,,C,,7025250.1882.01,Monthly,Jan,99.7,7025250,mm,C,QC,mm,mm,C,hPa,84.8,1882-01,,kph,45.4667,hPa,,,14.8
-73.75,45.4667,-73.75,,,C,,7025250.1882.02,Monthly,Feb,83.5,7025250,mm,C,QC,mm,mm,C,hPa,69,1882-02,,kph,45.4667,hPa,,,14.5
-73.75,45.4667,-73.75,,,C,,7025250.1882.03,Monthly,Mar,106.1,7025250,mm,C,QC,mm,mm,C,hPa,46.1,1882-03,,kph,45.4667,hPa,,,60
-73.75,45.4667,-73.75,,,C,,7025250.1882.04,Monthly,Apr,48.9,7025250,mm,C,QC,mm,mm,C,hPa,9.9,1882-04,,kph,45.4667,hPa,,,38.9
-73.75,45.4667,-73.75,,,C,,7025250.1882.05,Monthly,May,40.3,7025250,mm,C,QC,mm,mm,C,hPa,1.5,1882-05,,kph,45.4667,hPa,,,38.8
-73.75,45.4667,-73.75,,,C,,7025250.1882.06,Monthly,Jun,115.5,7025250,mm,C,QC,mm,mm,C,hPa,0,1882-06,,kph,45.4667,hPa,,,115.5
-73.75,45.4667,-73.75,,,C,,7025250.1882.07,Monthly,Jul,145.4,7025250,mm,C,QC,mm,mm,C,hPa,0,1882-07,,kph,45.4667,hPa,,,145.4
-73.75,45.4667,-73.75,,,C,,7025250.1882.08,Monthly,Aug,61.4,7025250,mm,C,QC,mm,mm,C,hPa,0,1882-08,,kph,45.4667,hPa,,,61.4
-73.75,45.4667,-73.75,,,C,,7025250.1882.09,Monthly,Sep,87.9,7025250,mm,C,QC,mm,mm,C,hPa,0,1882-09,,kph,45.4667,hPa,,,87.9
-73.75,45.4667,-73.75,,,C,,7025250.1882.10,Monthly,Oct,34.4,7025250,mm,C,QC,mm,mm,C,hPa,0,1882-10,,kph,45.4667,hPa,,,34.4
-73.75,45.4667,-73.75,,,C,,7025250.1882.11,Monthly,Nov,38.7,7025250,mm,C,QC,mm,mm,C,hPa,3.7,1882-11,,kph,45.4667,hPa,,,35
-73.75,45.4667,-73.75,,,C,,7025250.1882.12,Monthly,Dec,120.6,7025250,mm,C,QC,mm,mm,C,hPa,119.1,1882-12,,kph,45.4667,hPa,,,1.5
-73.75,45.4667,-73.75,,,C,,7025250.1883.01,Monthly,Jan,69,7025250,mm,C,QC,mm,mm,C,hPa,60.5,1883-01,,kph,45.4667,hPa,,,8.5
-73.75,45.4667,-73.75,,,C,,7025250.1883.02,Monthly,Feb,64.8,7025250,mm,C,QC,mm,mm,C,hPa,52,1883-02,,kph,45.4667,hPa,,,12.8
-73.75,45.4667,-73.75,,,C,,7025250.1883.03,Monthly,Mar,107.2,7025250,mm,C,QC,mm,mm,C,hPa,105.8,1883-03,,kph,45.4667,hPa,,,1.4
-73.75,45.4667,-73.75,,,C,,7025250.1883.04,Monthly,Apr,42.4,7025250,mm,C,QC,mm,mm,C,hPa,20.4,1883-04,,kph,45.4667,hPa,,,22
-73.75,45.4667,-73.75,,,C,,7025250.1883.05,Monthly,May,149.8,7025250,mm,C,QC,mm,mm,C,hPa,0.2,1883-05,,kph,45.4667,hPa,,,149.6
-73.75,45.4667,-73.75,,,C,,7025250.1883.06,Monthly,Jun,85.2,7025250,mm,C,QC,mm,mm,C,hPa,0,1883-06,,kph,45.4667,hPa,,,85.2
-73.75,45.4667,-73.75,,,C,,7025250.1883.07,Monthly,Jul,114.5,7025250,mm,C,QC,mm,mm,C,hPa,0,1883-07,,kph,45.4667,hPa,,,114.5
-73.75,45.4667,-73.75,,,C,,7025250.1883.08,Monthly,Aug,40.3,7025250,mm,C,QC,mm,mm,C,hPa,0,1883-08,,kph,45.4667,hPa,,,40.3
-73.75,45.4667,-73.75,,,C,,7025250.1883.09,Monthly,Sep,87,7025250,mm,C,QC,mm,mm,C,hPa,0,1883-09,,kph,45.4667,hPa,,,87
-73.75,45.4667,-73.75,,,C,,7025250.1883.10,Monthly,Oct,61.4,7025250,mm,C,QC,mm,mm,C,hPa,0,1883-10,,kph,45.4667,hPa,,,61.4
-73.75,45.4667,-73.75,,,C,,7025250.1883.11,Monthly,Nov,87.2,7025250,mm,C,QC,mm,mm,C,hPa,36.2,1883-11,,kph,45.4667,hPa,,,51
-73.75,45.4667,-73.75,,,C,,7025250.1883.12,Monthly,Dec,95.6,7025250,mm,C,QC,mm,mm,C,hPa,70.1,1883-12,,kph,45.4667,hPa,,,25.5
