"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-05","1938","05","16.9","","6.6","","11.8","","23.9","","2.2","","52.3","","0.0","","52.3","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-06","1938","06","20.8","","9.8","","15.3","","25.6","","4.4","","14.7","","0.0","","14.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-07","1938","07","22.8","","12.1","","17.5","","28.9","","9.4","S","10.2","","0.0","","10.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-08","1938","08","21.4","","10.6","","16.0","","24.4","S","7.8","","10.4","","0.0","","10.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-09","1938","09","19.6","","10.1","","14.9","","26.1","","5.6","S","29.5","","0.0","","29.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-10","1938","10","14.7","","5.3","","10.0","","20.0","","-1.1","S","94.7","","0.0","","94.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-11","1938","11","8.2","","0.7","","4.5","","12.2","","-4.4","S","77.0","","7.9","","84.8","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1938-12","1938","12","6.7","","-0.1","","3.3","","11.7","","-7.8","","203.7","","20.8","","224.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-01","1939","01","6.9","","2.3","","4.6","","10.6","","-2.8","","207.5","","0.0","T","207.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-02","1939","02","5.6","","-1.3","","2.2","","8.9","","-10.0","","70.6","","19.3","","89.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-03","1939","03","9.6","","1.6","","5.6","","18.9","","-4.4","","61.7","","0.0","T","61.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-04","1939","04","13.7","","4.3","","9.0","","21.7","","-0.6","","24.1","","0.0","","24.1","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-05","1939","05","17.3","","7.7","","12.5","","24.4","","3.3","","52.6","","0.0","","52.6","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-06","1939","06","17.8","","10.0","","13.9","","23.3","","4.4","","46.2","","0.0","","46.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-07","1939","07","21.0","","11.8","","16.4","","25.6","","8.3","","43.2","","0.0","","43.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-08","1939","08","22.4","","12.2","","17.3","","28.9","","7.2","","14.2","","0.0","","14.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-09","1939","09","18.0","","9.4","","13.7","","21.7","","4.4","S","44.2","","0.0","","44.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-10","1939","10","13.2","","6.3","","9.8","","16.7","","-1.1","","97.5","","0.0","","97.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-11","1939","11","11.9","","5.9","","8.9","","15.0","","0.6","","181.4","","0.0","","181.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1939-12","1939","12","9.8","","4.2","","7.0","","13.9","","-3.3","S","217.4","","0.0","T","217.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-01","1940","01","7.4","","1.5","","4.5","","13.3","","-5.6","","97.3","","5.8","","103.1","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-02","1940","02","8.8","","2.2","","5.5","","12.8","","-2.8","S","136.1","","4.8","","141.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-03","1940","03","11.7","","3.9","","7.8","","16.1","","-0.6","","123.4","","0.0","","123.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-04","1940","04","14.9","","6.4","","10.7","","22.8","","1.7","S","66.8","","0.0","","66.8","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-05","1940","05","18.1","","8.8","","13.5","","22.8","","5.0","S","61.5","","0.0","","61.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-06","1940","06","21.1","","10.4","","15.8","","24.4","S","7.8","S","5.3","","0.0","","5.3","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-07","1940","07","21.9","","12.8","","17.4","","27.2","","8.3","","37.1","","0.0","","37.1","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-08","1940","08","22.2","","12.8","","17.5","","28.3","","10.0","","29.7","","0.0","","29.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-09","1940","09","19.9","","11.8","","15.9","","23.9","","5.0","","51.3","","0.0","","51.3","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-10","1940","10","15.2","","8.6","","11.9","","18.9","","2.2","S","172.5","","0.0","","172.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-11","1940","11","7.9","","1.3","","4.6","","12.2","","-5.0","","78.7","","1.0","","79.8","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1940-12","1940","12","7.9","","2.3","","5.1","","13.9","S","-6.7","","201.9","","0.0","","201.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-01","1941","01","8.7","","2.0","","5.4","","13.9","","-3.9","","132.6","","0.0","","132.6","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-02","1941","02","9.6","","1.9","","5.8","","14.4","","-2.8","S","124.2","","2.3","","126.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-03","1941","03","12.8","","4.1","","8.5","","18.9","","0.0","","72.6","","0.0","","72.6","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-04","1941","04","15.1","","6.1","","10.6","","21.7","","1.7","S","56.4","","0.0","","56.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-05","1941","05","16.1","","8.6","","12.4","","20.0","","3.9","","102.1","","0.0","","102.1","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-06","1941","06","19.6","","11.3","","15.5","","25.6","","7.8","S","42.9","","0.0","","42.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-07","1941","07","23.3","","14.1","","18.7","","30.0","","10.0","","8.4","","0.0","","8.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-08","1941","08","21.6","","12.6","","17.1","","28.3","","10.0","","47.2","","0.0","","47.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-09","1941","09","17.2","","9.8","","13.5","","21.1","","5.0","","118.4","","0.0","","118.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-10","1941","10","13.7","","7.6","","10.7","","16.7","S","2.2","","131.8","","0.0","","131.8","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-11","1941","11","10.8","","3.6","","7.2","","15.6","","-3.9","","122.4","","0.0","","122.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1941-12","1941","12","7.5","","1.1","","4.3","","13.9","","-9.4","","145.5","","0.0","","145.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-01","1942","01","6.3","","-0.6","","2.9","","11.7","","-9.4","","61.5","","3.0","","64.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-02","1942","02","8.3","","0.9","","4.6","","11.7","","-3.3","S","49.3","","0.0","T","49.3","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-03","1942","03","9.7","","2.4","","6.1","","16.1","","-2.2","","68.6","","0.0","","68.6","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-04","1942","04","13.9","","5.8","","9.9","","20.0","","1.7","","54.4","","0.0","","54.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-05","1942","05","16.6","","8.6","","12.6","","21.1","S","3.9","","39.9","","0.0","","39.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-06","1942","06","19.1","","10.6","","14.9","","28.3","","8.3","","83.3","","0.0","","83.3","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-07","1942","07","23.1","","14.2","","18.7","","30.6","","10.0","","46.5","","0.0","","46.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-08","1942","08","23.4","","13.4","","18.4","","30.6","","8.9","","8.1","","0.0","","8.1","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-09","1942","09","18.7","","9.6","","14.2","","22.8","","2.8","","4.1","","0.0","","4.1","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-10","1942","10","15.2","","7.3","","11.3","","21.1","","1.7","","94.7","","0.0","","94.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-11","1942","11","8.3","","2.3","","5.3","","12.8","","-2.8","","121.4","","0.0","","121.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1942-12","1942","12","7.1","","2.6","","4.9","","12.8","","-5.6","","151.4","","24.6","","176.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-01","1943","01","2.4","","-3.5","","-0.6","","10.6","","-16.1","","39.1","","28.7","","67.8","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-02","1943","02","8.5","","0.7","","4.6","","15.0","","-2.2","","77.5","","12.7","","90.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-03","1943","03","9.3","","1.0","","5.2","","14.4","","-3.9","","70.1","","0.0","T","70.1","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-04","1943","04","13.9","","5.7","","9.8","","20.6","","1.7","","73.9","","0.0","","73.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-05","1943","05","15.8","","7.3","","11.6","","21.1","","3.3","","67.6","","0.0","","67.6","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-06","1943","06","19.5","","10.3","","14.9","","22.8","S","5.6","","15.5","","0.0","","15.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-07","1943","07","22.3","","12.4","","17.4","","26.1","","9.4","","22.4","","0.0","","22.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-08","1943","08","21.5","","12.4","","17.0","","24.4","","9.4","","53.8","","0.0","","53.8","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-09","1943","09","19.4","","9.9","","14.7","","23.9","","6.1","S","34.8","","0.0","","34.8","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-10","1943","10","14.5","","7.0","","10.8","","21.1","","0.6","S","128.3","","0.0","","128.3","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-11","1943","11","10.4","","3.6","","7.0","","14.4","S","-0.6","","59.9","","0.0","","59.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1943-12","1943","12","6.4","","-0.4","","3.0","","11.7","","-6.1","","110.7","","0.0","","110.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-01","1944","01","7.1","","1.1","","4.1","","11.1","","-3.9","S","140.0","","0.0","T","140.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-02","1944","02","7.6","","1.1","","4.4","","10.6","","-3.9","","79.5","","8.9","","88.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-03","1944","03","9.5","","2.1","","5.8","","16.1","","-2.8","","42.2","","0.0","","42.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-04","1944","04","14.1","","5.6","","9.9","","20.6","","2.2","S","61.5","","0.0","","61.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-05","1944","05","16.6","","7.6","","12.1","","22.2","","3.3","","32.5","","0.0","","32.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-06","1944","06","20.1","","10.8","","15.5","","27.2","","6.7","","18.0","","0.0","","18.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-07","1944","07","22.8","","12.7","","17.8","","28.3","","8.3","","8.4","","0.0","","8.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-08","1944","08","21.4","","12.7","","17.1","","25.6","","8.3","","18.0","","0.0","","18.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-09","1944","09","20.1","","10.8","","15.5","","28.9","","5.0","","91.2","","0.0","","91.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-10","1944","10","14.9","","7.4","","11.2","","17.8","S","2.8","","117.6","","0.0","","117.6","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-11","1944","11","10.1","","4.8","","7.5","","13.9","","-1.7","S","154.7","","0.0","","154.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1944-12","1944","12","5.8","","-0.2","","2.8","","12.2","","-6.1","S","62.0","","0.0","T","62.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-01","1945","01","7.8","","1.7","","4.8","","13.3","","-5.6","S","153.2","","0.0","","153.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-02","1945","02","8.5","","1.7","","5.1","","13.9","","-3.3","","121.2","","0.0","","121.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-03","1945","03","9.1","","2.6","","5.9","","12.2","","-1.7","","123.2","","0.0","T","123.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-04","1945","04","11.7","","4.3","","8.0","","17.2","","-1.1","","66.3","","0.3","","66.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-05","1945","05","17.7","","8.9","","13.3","","23.9","","5.6","","25.7","","0.0","","25.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-06","1945","06","19.4","","10.3","","14.9","","23.3","S","6.1","","12.7","","0.0","","12.7","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-07","1945","07","22.9","","12.1","","17.5","","27.2","","8.9","S","20.6","","0.0","","20.6","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-08","1945","08","21.9","","12.1","","17.0","","26.7","","8.3","","29.5","","0.0","","29.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-09","1945","09","17.6","","8.4","","13.0","","22.8","","2.2","","69.9","","0.0","","69.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-10","1945","10","14.2","","6.2","","10.2","","21.7","","0.6","","133.6","","0.0","","133.6","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-11","1945","11","7.9","","2.4","","5.2","","15.6","","-6.7","","178.8","","9.7","","188.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1945-12","1945","12","6.8","","0.4","","3.6","","12.2","","-8.9","","126.7","","0.3","","127.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-01","1946","01","6.8","","2.0","","4.4","","10.0","S","-2.2","S","173.7","","5.1","","178.8","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-02","1946","02","7.7","","2.2","","5.0","","11.1","","-2.8","","141.2","","16.8","","158.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-03","1946","03","9.7","","2.9","","6.3","","12.8","S","-0.6","","151.9","","0.0","","151.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-04","1946","04","12.3","","4.9","","8.6","","17.8","S","2.2","S","127.0","","0.0","","127.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-05","1946","05","18.8","","8.4","","13.6","","25.0","","2.8","","8.4","","0.0","","8.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-06","1946","06","18.9","","10.6","","14.8","","25.6","","7.8","","96.0","","0.0","","96.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-07","1946","07","21.9","","12.4","","17.2","","28.9","","9.4","","42.4","","0.0","","42.4","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-08","1946","08","21.5","","11.7","","16.6","","25.6","S","8.3","","14.5","","0.0","","14.5","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-09","1946","09","18.8","","10.1","","14.5","","25.0","","5.0","","29.2","","0.0","","29.2","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-10","1946","10","12.3","","4.7","","8.5","","18.9","","-2.8","","105.9","","0.0","","105.9","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-11","1946","11","7.3","","0.3","","3.8","","13.9","","-5.6","","102.1","","7.9","","110.0","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1946-12","1946","12","5.6","","0.7","","3.2","","11.7","","-6.1","","126.2","","6.1","","132.3","","","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-01","1947","01","3.6","","-2.7","","0.5","","10.0","S","-15.0","","117.9","","35.6","","153.4","","0","T","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-02","1947","02","8.4","","1.1","","4.8","","12.8","","-6.7","","138.2","","1.3","","139.4","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-03","1947","03","11.2","","2.7","","7.0","","18.3","","-1.1","S","119.4","","0.0","","119.4","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-04","1947","04","14.4","","5.8","","10.1","","24.4","","0.6","S","89.9","","0.0","","89.9","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-05","1947","05","18.7","","8.7","","13.7","","28.3","","3.9","","36.8","","0.0","","36.8","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-06","1947","06","20.2","","11.3","","15.8","","24.4","","8.3","S","44.2","","0.0","","44.2","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-07","1947","07","22.6","","12.2","","17.4","","25.0","","9.4","","38.4","","0.0","","38.4","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-08","1947","08","21.8","","11.9","","16.9","","25.6","","8.3","S","7.4","","0.0","","7.4","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-09","1947","09","19.2","","9.1","","14.2","","24.4","","3.9","","47.2","","0.0","","47.2","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-10","1947","10","14.2","","7.0","","10.6","","20.0","","0.6","","172.2","","0.0","","172.2","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-11","1947","11","8.0","","1.7","","4.9","","11.7","","-5.0","","92.5","","0.0","","92.5","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1947-12","1947","12","7.4","","1.4","","4.4","","11.1","","-5.6","","227.3","","1.3","","228.6","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-01","1948","01","6.2","","0.5","","3.4","","9.4","S","-6.1","S","82.3","","0.0","","82.3","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-02","1948","02","5.6","","-0.7","","2.5","","9.4","","-7.8","","164.6","","19.8","","184.4","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-03","1948","03","9.3","","1.8","","5.6","","14.4","","-2.8","","42.4","","0.0","T","42.4","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-04","1948","04","11.7","","3.8","","7.8","","17.2","","-0.6","","54.4","","0.0","T","54.4","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-05","1948","05","15.7","","7.5","","11.6","","22.2","","2.2","","120.9","","0.0","","120.9","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-06","1948","06","20.6","","12.2","","16.4","","26.7","","9.4","S","31.5","","0.0","","31.5","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-07","1948","07","21.2","","12.7","","17.0","","25.6","","8.9","","49.3","","0.0","","49.3","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-08","1948","08","19.9","","12.8","","16.4","","23.3","","10.0","S","75.4","","0.0","","75.4","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-09","1948","09","17.4","","9.2","","13.3","","22.8","","1.1","","49.3","","0.0","","49.3","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-10","1948","10","13.6","","4.9","","9.3","","18.9","","-2.2","","73.9","","0.0","","73.9","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-11","1948","11","8.2","","2.3","","5.3","","11.7","","-3.9","","244.3","","0.5","","244.9","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1948-12","1948","12","4.3","","-2.0","","1.2","","9.4","","-12.8","","115.8","","42.2","","158.0","","0","T","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-01","1949","01","2.2","","-5.0","","-1.4","","8.3","","-11.1","S","8.6","","9.7","","18.3","","3","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-02","1949","02","4.5","","-2.4","","1.1","","11.7","","-9.4","","87.9","","60.7","","148.6","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-03","1949","03","10.0","","2.1","","6.1","","15.6","","-5.0","","82.8","","0.0","","82.8","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-04","1949","04","13.4","","4.7","","9.1","","18.9","S","0.6","","52.8","","0.0","","52.8","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-05","1949","05","18.1","","7.8","","13.0","","23.3","","2.2","","30.7","","0.0","","30.7","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-06","1949","06","19.4","","9.8","","14.6","","23.9","","5.0","","48.3","","0.0","","48.3","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-07","1949","07","21.5","","11.6","","16.6","","27.8","","6.7","","31.2","","0.0","","31.2","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-08","1949","08","21.0","","11.9","","16.5","","26.7","","7.2","","20.3","","0.0","","20.3","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-09","1949","09","19.9","","9.8","","14.9","","25.6","S","5.0","S","24.9","","0.0","","24.9","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-10","1949","10","12.3","","4.2","","8.3","","16.1","S","-2.8","","97.3","","0.0","","97.3","","0","","","","",""

"-123.18","49.20","VANCOUVER INT'L A","1108447","1949-11","1949","11","12.0","","5.4","","8.7","","16.7","S","-0.6","","166.6","","0.0","","166.6","","0","","","","",""

